,latent_dim,ARI@k7_mean,NMI@k7_mean,ARI@ksel_mean,silhouette_mean,R2_m_mean,ARI@k7_std,R2_m_std,k_sel
raw-log [dim=2],2.0,0.135,0.19,0.044,0.651,0.631,0.02,0.08,2.0
proportions [dim=2],2.0,0.15,0.235,0.123,0.614,0.248,0.025,0.033,3.0
CLR (lambda=0) [dim=2],2.0,0.474,0.511,0.33,0.55,0.27,0.055,0.047,3.0
SD-CAE (lambda=1) [dim=2],2.0,0.31,0.356,0.199,0.745,0.21,0.066,0.048,2.0
SD-CAE (lambda=10) [dim=2],2.0,0.296,0.402,0.241,0.631,0.124,0.065,0.101,2.0
raw-log [dim=3],3.0,0.204,0.26,0.09,0.589,0.809,0.076,0.06,2.0
proportions [dim=3],3.0,0.157,0.243,0.129,0.555,0.319,0.035,0.089,3.0
CLR (lambda=0) [dim=3],3.0,0.413,0.488,0.204,0.587,0.335,0.152,0.07,2.0
SD-CAE (lambda=1) [dim=3],3.0,0.261,0.347,0.246,0.707,0.174,0.146,0.122,2.0
SD-CAE (lambda=10) [dim=3],3.0,0.362,0.403,0.21,0.658,0.28,0.127,0.11,2.0
